iter	RMSE
0	24824.39842
1	24232.49039
2	23644.52392
3	23084.8836
4	22539.48782
5	22013.60118
6	21516.63059
7	21027.07967
8	20533.98409
9	20065.22716
10	19609.91803
11	19174.62742
12	18758.34617
13	18346.03618
14	17969.27531
15	17600.30185
16	17231.07525
17	16884.77463
18	16537.58791
19	16212.2929
20	15893.62701
21	15596.00398
22	15296.97187
23	15007.39027
24	14744.59723
25	14486.62596
26	14235.3261
27	13985.96079
28	13749.85031
29	13529.88416
30	13303.68599
31	13097.68296
32	12904.60346
33	12708.65316
34	12522.07237
35	12346.83122
36	12173.84651
37	12014.41633
38	11867.7469
39	11720.41807
40	11577.59841
41	11442.49821
42	11309.67379
43	11185.00224
44	11071.1917
45	10961.68062
46	10853.39315
47	10744.47798
48	10643.74931
49	10549.49257
50	10457.56425
51	10370.63854
52	10287.97878
53	10210.10404
54	10135.89438
55	10060.16075
56	9992.076991
57	9925.264144
58	9866.438528
59	9807.137578
60	9749.742603
61	9698.494038
62	9648.238651
63	9597.54823
64	9552.660463
65	9508.12841
66	9463.910523
67	9426.045576
68	9389.033962
69	9351.70701
70	9314.623031
71	9280.261624
72	9250.550713
73	9220.343356
74	9192.881763
75	9165.34813
76	9140.142994
77	9112.546442
78	9089.419979
79	9065.734179
80	9044.969987
81	9023.206831
82	9002.317634
83	8984.004046
84	8965.530787
85	8947.063605
86	8931.183598
87	8916.149154
88	8898.697554
89	8881.59056
90	8868.329217
91	8854.984143
92	8841.510756
93	8828.210358
94	8814.978655
95	8804.649156
96	8793.680252
97	8784.386647
98	8774.663285
99	8764.379574
100	8755.035759
101	8746.199678
102	8738.34741
103	8729.863077
104	8719.456102
105	8712.765962
106	8705.205754
107	8698.760587
108	8692.066773
109	8685.692591
110	8678.020115
111	8671.442688
112	8664.731341
113	8659.664801
114	8654.80191
115	8648.979144
116	8644.318968
117	8639.390726
118	8634.698354
119	8629.610128
120	8623.910647
121	8619.913018
122	8615.303472
123	8610.852486
124	8605.590462
125	8601.2583
126	8597.42779
127	8591.775533
128	8588.311997
129	8582.176267
130	8577.866972
131	8574.314108
132	8569.550884
133	8564.922907
134	8562.337127
135	8559.394775
136	8556.147186
137	8552.460115
138	8548.032381
139	8543.969951
140	8540.486161
141	8537.508245
142	8535.202918
143	8531.554798
144	8527.191764
145	8523.419468
146	8520.398934
147	8518.313033
148	8515.09184
149	8509.893668
150	8506.682123
151	8502.462353
152	8499.561664
153	8496.867205
154	8495.359418
155	8490.451423
156	8488.118693
157	8487.701791
158	8486.973038
159	8483.264573
160	8479.156355
161	8478.682675
162	8476.295548
163	8471.632442
164	8468.456743
165	8464.829926
166	8462.121399
167	8457.779226
168	8455.44619
169	8453.106529
170	8450.800573
171	8447.678827
172	8443.241045
173	8441.307315
174	8440.747771
175	8439.681225
176	8437.276837
177	8434.289998
178	8433.39779
179	8430.164281
180	8427.564342
181	8426.238461
182	8425.230144
183	8422.993255
184	8421.942909
185	8420.471351
186	8415.733536
187	8414.411058
188	8412.856979
189	8411.183613
190	8409.238145
191	8406.030193
192	8404.715806
193	8403.223085
194	8401.333451
195	8400.314808
196	8398.242767
197	8397.206914
198	8395.720513
199	8395.055807
200	8391.278706
201	8390.721772
202	8389.610745
203	8387.563517
204	8383.918405
205	8383.672327
206	8382.726513
207	8381.403956
208	8379.838787
209	8379.1505
210	8378.09274
211	8376.730694
212	8375.178099
213	8373.695035
214	8373.13491
215	8370.773202
216	8369.314927
217	8368.428304
218	8365.131826
219	8364.688849
220	8364.038175
221	8362.964936
222	8360.994128
223	8358.890875
224	8357.690848
225	8355.723678
226	8354.201921
227	8353.430244
228	8353.093269
229	8351.008382
230	8350.028191
231	8346.91076
232	8345.444113
233	8344.200318
234	8343.233084
235	8343.027979
236	8339.762998
237	8338.390046
238	8337.353482
239	8334.95785
240	8332.059834
241	8331.342097
242	8330.589586
243	8329.803738
244	8329.200877
245	8325.265808
246	8323.836794
247	8322.103939
248	8320.26972
249	8318.323971
250	8316.710468
251	8315.933004
252	8313.604415
253	8312.45543
254	8310.757415
255	8309.20952
256	8308.812705
257	8307.616779
258	8307.123284
259	8304.627591
260	8303.538508
261	8300.204365
262	8295.473464
263	8295.273235
264	8292.600439
265	8290.678659
266	8290.433843
267	8289.492645
268	8286.833256
269	8285.833719
270	8284.795927
271	8284.063706
272	8281.909592
273	8280.376503
274	8280.118136
275	8277.358206
276	8276.443732
277	8275.253184
278	8274.743923
279	8270.90888
280	8269.741621
281	8266.387001
282	8263.218791
283	8262.155038
284	8261.164363
285	8260.258337
286	8258.350302
287	8256.096861
288	8255.25329
289	8252.462417
290	8249.825647
291	8249.206282
292	8246.028462
293	8245.402045
294	8242.44038
295	8240.651727
296	8239.555205
297	8238.064585
298	8236.250726
299	8234.665863
