iter	Passed	Remaining
0	191	57156
1	214	31927
2	231	22869
3	247	18322
4	268	15863
5	297	14600
6	326	13667
7	354	12952
8	375	12145
9	396	11485
10	422	11106
11	445	10686
12	463	10234
13	480	9815
14	503	9570
15	523	9284
16	541	9016
17	565	8855
18	593	8770
19	620	8690
20	644	8561
21	668	8441
22	692	8335
23	716	8241
24	745	8198
25	779	8210
26	799	8088
27	826	8025
28	843	7883
29	862	7760
30	879	7631
31	898	7523
32	914	7396
33	930	7278
34	950	7192
35	970	7119
36	990	7042
37	1011	6973
38	1031	6902
39	1053	6847
40	1075	6793
41	1095	6728
42	1118	6686
43	1147	6678
44	1172	6645
45	1206	6659
46	1268	6826
47	1296	6807
48	1318	6754
49	1342	6710
50	1362	6650
51	1386	6613
52	1413	6588
53	1434	6536
54	1455	6485
55	1479	6445
56	1509	6435
57	1539	6423
58	1563	6385
59	1591	6366
60	1614	6325
61	1645	6316
62	1673	6296
63	1695	6253
64	1714	6199
65	1738	6163
66	1762	6127
67	1779	6071
68	1808	6054
69	1827	6006
70	1846	5954
71	1864	5903
72	1882	5853
73	1900	5805
74	1923	5771
75	1945	5733
76	1977	5726
77	2021	5754
78	2049	5733
79	2088	5744
80	2115	5719
81	2146	5706
82	2172	5678
83	2194	5643
84	2215	5602
85	2235	5561
86	2254	5520
87	2275	5480
88	2294	5440
89	2310	5392
90	2327	5344
91	2346	5304
92	2363	5261
93	2381	5219
94	2402	5184
95	2435	5174
96	2461	5150
97	2489	5131
98	2518	5112
99	2541	5082
100	2569	5062
101	2600	5048
102	2628	5026
103	2654	5002
104	2676	4970
105	2708	4956
106	2737	4937
107	2758	4903
108	2781	4873
109	2801	4839
110	2826	4812
111	2853	4789
112	2883	4771
113	2910	4749
114	2938	4726
115	2959	4694
116	2983	4667
117	3010	4642
118	3032	4613
119	3056	4584
120	3084	4562
121	3118	4549
122	3146	4527
123	3168	4496
124	3188	4464
125	3214	4439
126	3234	4405
127	3254	4372
128	3280	4348
129	3301	4316
130	3319	4282
131	3344	4257
132	3366	4226
133	3399	4210
134	3427	4189
135	3451	4161
136	3474	4133
137	3493	4100
138	3510	4066
139	3529	4034
140	3552	4005
141	3573	3976
142	3595	3947
143	3616	3917
144	3636	3887
145	3654	3855
146	3674	3824
147	3697	3797
148	3724	3774
149	3750	3750
150	3771	3721
151	3791	3691
152	3814	3664
153	3837	3637
154	3859	3610
155	3881	3583
156	3904	3556
157	3924	3527
158	3944	3497
159	3972	3475
160	3991	3446
161	3997	3405
162	4017	3376
163	4040	3350
164	4062	3323
165	4094	3305
166	4120	3281
167	4139	3252
168	4157	3222
169	4174	3192
170	4191	3161
171	4206	3130
172	4221	3099
173	4235	3067
174	4252	3037
175	4261	3002
176	4278	2973
177	4296	2945
178	4316	2918
179	4339	2892
180	4358	2865
181	4376	2837
182	4393	2809
183	4414	2782
184	4434	2756
185	4450	2727
186	4467	2699
187	4483	2670
188	4498	2641
189	4513	2613
190	4526	2583
191	4544	2556
192	4559	2527
193	4574	2499
194	4588	2470
195	4603	2442
196	4617	2414
197	4631	2385
198	4643	2356
199	4657	2328
200	4671	2300
201	4684	2272
202	4698	2244
203	4710	2216
204	4723	2189
205	4729	2157
206	4741	2130
207	4753	2102
208	4767	2075
209	4776	2046
210	4790	2020
211	4806	1994
212	4819	1968
213	4832	1942
214	4847	1916
215	4862	1891
216	4878	1865
217	4896	1841
218	4913	1817
219	4929	1792
220	4946	1768
221	4963	1743
222	4978	1718
223	4999	1696
224	5049	1683
225	5087	1665
226	5104	1641
227	5116	1615
228	5128	1590
229	5143	1565
230	5155	1539
231	5169	1515
232	5182	1490
233	5195	1465
234	5214	1442
235	5228	1417
236	5243	1393
237	5258	1369
238	5272	1345
239	5288	1322
240	5304	1298
241	5318	1274
242	5333	1251
243	5348	1227
244	5363	1204
245	5378	1180
246	5395	1157
247	5409	1134
248	5422	1110
249	5437	1087
250	5451	1064
251	5464	1040
252	5481	1018
253	5494	995
254	5508	972
255	5522	949
256	5536	926
257	5551	903
258	5564	880
259	5578	858
260	5592	835
261	5605	812
262	5619	790
263	5627	767
264	5641	745
265	5655	722
266	5662	699
267	5675	677
268	5688	655
269	5702	633
270	5715	611
271	5727	589
272	5741	567
273	5755	546
274	5770	524
275	5785	503
276	5801	481
277	5817	460
278	5833	439
279	5848	417
280	5863	396
281	5880	375
282	5894	354
283	5910	333
284	5926	311
285	5941	290
286	5955	269
287	5969	248
288	5983	227
289	5997	206
290	6012	185
291	6026	165
292	6040	144
293	6046	123
294	6060	102
295	6075	82
296	6088	61
297	6101	40
298	6112	20
299	6125	0
